election,source_locality_code,source_locality_name,evidence_tier,decision,candidate_rows,candidate_actual_voters,candidate_assignment_sha256,reviewed_on,review_basis,review_notes
K20,473,אבו סנאן,,rejected,0,0,,2026-07-18,arcgis_source_is_dissolved_locality_aggregate,Rejected after source-metadata audit: the ArcGIS item explicitly says Arab-locality statistical areas were merged; one locality-wide feature cannot support a detailed ballot-to-area assignment.
K20,478,אכסאל,,rejected,0,0,,2026-07-18,arcgis_source_is_dissolved_locality_aggregate,Rejected after source-metadata audit: the ArcGIS item explicitly says Arab-locality statistical areas were merged; one locality-wide feature cannot support a detailed ballot-to-area assignment.
K20,480,בית ג'ן,,rejected,0,0,,2026-07-18,arcgis_source_is_dissolved_locality_aggregate,Rejected after source-metadata audit: the ArcGIS item explicitly says Arab-locality statistical areas were merged; one locality-wide feature cannot support a detailed ballot-to-area assignment.
K20,481,מגאר,,rejected,0,0,,2026-07-18,arcgis_source_is_dissolved_locality_aggregate,Rejected after source-metadata audit: the ArcGIS item explicitly says Arab-locality statistical areas were merged; one locality-wide feature cannot support a detailed ballot-to-area assignment.
K20,490,דייר אל-אסד,,rejected,0,0,,2026-07-18,arcgis_source_is_dissolved_locality_aggregate,Rejected after source-metadata audit: the ArcGIS item explicitly says Arab-locality statistical areas were merged; one locality-wide feature cannot support a detailed ballot-to-area assignment.
K20,494,דאלית אל-כרמל,,rejected,0,0,,2026-07-18,arcgis_source_is_dissolved_locality_aggregate,Rejected after source-metadata audit: the ArcGIS item explicitly says Arab-locality statistical areas were merged; one locality-wide feature cannot support a detailed ballot-to-area assignment.
K20,498,טורעאן,,rejected,0,0,,2026-07-18,arcgis_source_is_dissolved_locality_aggregate,Rejected after source-metadata audit: the ArcGIS item explicitly says Arab-locality statistical areas were merged; one locality-wide feature cannot support a detailed ballot-to-area assignment.
K20,499,יפיע,,rejected,0,0,,2026-07-18,arcgis_source_is_dissolved_locality_aggregate,Rejected after source-metadata audit: the ArcGIS item explicitly says Arab-locality statistical areas were merged; one locality-wide feature cannot support a detailed ballot-to-area assignment.
K20,502,ירכא,,rejected,0,0,,2026-07-18,arcgis_source_is_dissolved_locality_aggregate,Rejected after source-metadata audit: the ArcGIS item explicitly says Arab-locality statistical areas were merged; one locality-wide feature cannot support a detailed ballot-to-area assignment.
K20,509,כפר כנא,,rejected,0,0,,2026-07-18,arcgis_source_is_dissolved_locality_aggregate,Rejected after source-metadata audit: the ArcGIS item explicitly says Arab-locality statistical areas were merged; one locality-wide feature cannot support a detailed ballot-to-area assignment.
K20,510,כפר מנדא,,rejected,0,0,,2026-07-18,arcgis_source_is_dissolved_locality_aggregate,Rejected after source-metadata audit: the ArcGIS item explicitly says Arab-locality statistical areas were merged; one locality-wide feature cannot support a detailed ballot-to-area assignment.
